155
0013 ; 0.966 ; 0.031 ; MMRCMPSP ; 2015, Dec 20 <br/>15h34 ; 5 parameters<br/> (exec./param.): 5 ;
0012 ; 0.814 ; 0.146 ; MMRCMPSP ; 2015, Dec 14 <br/>08h20 ; 50 parameters<br/> (exec./param.): 3 ;
0011 ; 0.928 ; 0.043 ; MMRCMPSP ; 2015, Nov 18 <br/>20h08 ; 50 parameters<br/> (exec./param.): 3 ;
0010 ; 0.894 ; 0.071 ; MMRCMPSP ; 2015, Nov 15 <br/>14h05 ; 50 parameters<br/> (exec./param.): 3 ;
0009 ; -error ; -error ; MMRCMPSP ; 2015, Nov 7 <br/>15h11 ; - parameters<br/> (exec./param.): - ;
0008 ; 0.9 ; 0.05 ; MMRCMPSP ; 2015, Oct 26 <br/>02h37 ; 9 parameters<br/> (exec./param.): 5 ;
0007 ; 0.9 ; 0.05 ; MMRCMPSP ; 2015, Oct 21 <br/>09h16 ; 9 parameters<br/> (exec./param.): 5 ;
0006 ; 0.9 ; 0.05 ; MMRCMPSP ; 2015, Oct 11 <br/>02h00 ; 1 parameter<br/> (exec./param.): 10 ;
0005 ; 0.9 ; 0.05 ; MMRCMPSP ; 2015, Oct 10 <br/>00h33 ; 1 parameter<br/> (exec./param.): 10 ;
0004 ; 0.9 ; 0.05 ; MMRCMPSP ; 2015, Sep 7 <br/>16h16 ; 6 parameters<br/> (exec./param.): 5 ;
0003 ; 0.52 ; 0.17 ; MMRCMPSP ; 2015, Sep 1 <br/>00h12 ; 6 parameters<br/> (exec./param.): 5 ;
0002 ; 0.38 ; 0.14 ; MMRCMPSP ; 2015, Aug 25 <br/>15h46 ; 6 parameters<br/> (exec./param.): 5 ;
0001 ; 0.52 ; 0.2 ; MMRCMPSP ; 2015, Aug 20 <br/>10h30 ; 5 parameters<br/> (exec./param.): 1 ;
0000 ; -void ; -void ; ---- ; ----, --- -- <br/>--h-- ; - parameters<br/> (exec./param.): - ;
